A1, A2, A3, A4, A5, A6, A7, A8, A9, class
71, -33, 107, 0, 60, -21, 36, 47, 12, 1
86, 5, 89, 0, 2, -5, 3, 86, 84, -1
106, 0, 108, -3, 70, -4, 1, 38, 36, -1
83, 0, 87, 0, -40, 0, 4, 128, 124, -1
79, -1, 83, -10, 436, 6339, 4, -353, -356, -1
105, 1, 106, 0, 70, -3, 1, 36, 34, -1
108, 0, 108, -6, 72, 7, 1, 36, 36, -1
102, -4, 104, 0, 70, 0, 1, 34, 32, -1
82, -1, 86, 0, -12, 0, 4, 99, 94, -1
81, -5, 86, 0, -22, 0, 4, 109, 104, -1
101, 0, 102, 0, 72, 15, 1, 29, 28, -1
85, 0, 88, 4, 6, 0, 3, 83, 80, -1
106, 4, 108, 2, 70, 0, 1, 38, 36, -1
82, 2, 86, 0, -22, 10, 4, 109, 106, -1
102, 2, 102, 0, 70, -5, 1, 33, 32, -1
82, 3, 86, 5, -40, 0, 5, 128, 124, -1
85, 0, 88, -587, 0, 0, 3, 88, 84, -1
85, 0, 88, 0, 6, -1, 3, 83, 80, -1
76, 0, 80, -7, -42, -11, 4, 124, 120, -1
106, 4, 107, 2, 70, 0, 1, 37, 36, -1
123, 275, 105, 0, 36, -2, -18, 69, 86, -1
80, -1, 84, -6, -36, 0, 4, 120, 116, -1
79, 0, 83, 0, -28, 27, 4, 112, 108, -1
81, -1, 85, -2, -40, 0, 4, 126, 122, -1
83, 2, 86, 0, -2, 0, 3, 88, 86, -1
81, 0, 86, 0, -40, 2, 4, 127, 122, -1
