Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc, class
0.64, 0.62, 0.49, 0.15, 0.5, 0.0, 0.53, 0.22, -1
0.63, 0.67, 0.57, 0.24, 0.5, 0.0, 0.49, 0.22, -1
0.5, 0.54, 0.53, 0.54, 0.5, 0.0, 0.51, 0.27, -1
0.45, 0.45, 0.5, 0.6, 0.5, 0.0, 0.49, 0.22, -1
0.35, 0.52, 0.48, 0.22, 0.5, 0.0, 0.26, 0.22, -1
0.64, 0.62, 0.29, 0.28, 0.5, 0.0, 0.51, 0.22, -1
0.58, 0.62, 0.54, 0.17, 0.5, 0.0, 0.48, 0.22, -1
0.63, 0.56, 0.45, 0.58, 0.5, 0.0, 0.51, 0.22, -1
0.42, 0.58, 0.41, 0.65, 0.5, 0.0, 0.46, 0.26, -1
0.5, 0.52, 0.6, 0.51, 0.5, 0.0, 0.48, 0.22, -1
0.5, 0.41, 0.44, 0.5, 0.5, 0.0, 0.42, 0.22, -1
0.69, 0.5, 0.49, 0.42, 0.5, 0.0, 0.49, 0.22, -1
0.45, 0.59, 0.53, 0.74, 0.5, 0.0, 0.47, 0.25, -1
0.47, 0.63, 0.66, 0.45, 0.5, 0.0, 0.37, 0.11, -1
0.53, 0.5, 0.54, 0.56, 0.5, 0.0, 0.49, 0.41, -1
0.68, 0.5, 0.55, 0.65, 0.5, 0.0, 0.46, 0.31, -1
0.81, 0.65, 0.52, 0.41, 0.5, 0.0, 0.57, 0.26, -1
0.53, 0.48, 0.45, 0.44, 0.5, 0.0, 0.49, 0.27, -1
0.49, 0.48, 0.46, 0.63, 0.5, 0.0, 0.52, 0.22, -1
0.45, 0.48, 0.63, 0.67, 0.5, 0.0, 0.48, 0.22, -1
0.5, 0.49, 0.59, 0.47, 0.5, 0.0, 0.49, 0.36, -1
0.45, 0.73, 0.47, 0.65, 0.5, 0.0, 0.54, 0.43, -1
0.59, 0.57, 0.43, 0.26, 0.5, 0.0, 0.51, 0.22, -1
0.51, 0.42, 0.56, 0.38, 0.5, 0.0, 0.46, 0.22, -1
0.45, 0.38, 0.64, 0.14, 0.5, 0.0, 0.54, 0.22, -1
