a1, a2, a3, a4, a5, a6, a7 , class
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, -1
23.0, 32.0, 48.0, 5.0, 55.0, 25.0, 35.0, -1
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, -1
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, -1
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, -1
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, -1
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, -1
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, -1
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, -1
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, -1
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, -1
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, -1
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, -1
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, -1
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, -1
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, -1
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, -1
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, -1
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, -1
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, -1
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, -1
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, -1
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, -1
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, -1
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, -1
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, -1
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, -1
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, -1
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, -1
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, -1
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, -1
69.0, 43.0, 48.0, 5.0, 59.0, 74.0, 77.0, -1
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, -1
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, -1
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, -1
87.0, 49.0, 48.0, 5.0, 61.0, 76.0, 79.0, -1
63.0, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, 1
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, 1
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, 1
63.0, 49.0, 48.0, 5.0, 79.0, 45.0, 28.0, 1
