A1, A2, A3, A4, A5, A6, A7, A8, A9, class
90, -40, 107, 0, 64, -28, 17, 42, 26, 1
46, -49, 77, 0, -2, 0, 31, 79, 48, 1
81, -5, 84, 0, -22, -6, 4, 108, 104, -1
84, -3, 88, 0, 6, 0, 5, 83, 78, -1
101, 5, 102, 0, 72, 14, 1, 29, 28, -1
102, 0, 103, 0, 70, -25, 1, 33, 32, -1
101, 0, 102, 0, 72, 38, 1, 30, 28, -1
106, 2, 108, 8, 70, -30, 2, 38, 36, -1
106, -2, 108, 0, 70, 0, 1, 38, 36, -1
78, 1, 82, 4, -42, 0, 4, 126, 122, -1
84, 0, 87, -6, 0, 2, 3, 87, 84, -1
107, 0, 108, 1, 72, 8, 1, 36, 34, -1
102, 0, 103, 2, 70, -6, 1, 33, 32, -1
84, 0, 88, 0, 2, 0, 3, 85, 82, -1
81, 1, 86, 0, -40, 2, 4, 127, 122, -1
82, 1, 86, 3, -40, 5, 5, 128, 124, -1
84, -2, 88, 0, 6, 0, 4, 83, 78, -1
85, 0, 88, 0, 2, 21, 3, 86, 82, -1
84, -1, 88, -3, -2, -13, 3, 90, 88, -1
84, 0, 88, -2, 6, -6, 5, 83, 78, -1
104, 0, 105, 0, 72, 11, 1, 33, 32, -1
84, 9, 89, 0, 6, -9, 5, 84, 78, -1
102, -1, 104, 0, 70, 0, 1, 34, 32, -1
79, -1, 83, -2, -40, 3, 4, 124, 120, -1
74, 3, 79, 7, -42, 0, 4, 123, 118, -1
74, 8, 78, 10, -42, -2, 4, 122, 118, -1
