@relation ecoli
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.0, 0.88]
@attribute Aac real [0.03, 1.0]
@attribute Alm1 real [0.0, 0.99]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, -1
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, -1
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, -1
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, -1
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, -1
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, -1
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, -1
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, -1
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, -1
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, -1
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, -1
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, -1
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, -1
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, -1
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, -1
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, -1
36.0, 56.0, 48.0, 5.0, 43.0, 45.0, 53.0, -1
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, -1
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, -1
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, -1
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, -1
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, -1
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, -1
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, -1
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, -1
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, -1
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, -1
12.0, 67.0, 48.0, 5.0, 74.0, 58.0, 63.0, -1
73.0, 36.0, 48.0, 5.0, 53.0, 91.0, 92.0, -1
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, -1
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, -1
47.0, 55.0, 48.0, 5.0, 58.0, 71.0, 75.0, -1
33.0, 56.0, 48.0, 5.0, 33.0, 78.0, 8.0, -1
6.0, 61.0, 48.0, 5.0, 54.0, 67.0, 71.0, -1
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, -1
7.0, 4.0, 48.0, 5.0, 56.0, 86.0, 83.0, -1
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, -1
12.0, 43.0, 48.0, 5.0, 63.0, 7.0, 74.0, -1
63.0, 65.0, 48.0, 5.0, 66.0, 67.0, 71.0, -1
34.0, 67.0, 48.0, 5.0, 52.0, 76.0, 79.0, -1
59.0, 56.0, 48.0, 5.0, 55.0, 8.0, 82.0, -1
36.0, 47.0, 48.0, 5.0, 51.0, 69.0, 72.0, -1
52.0, 54.0, 48.0, 5.0, 62.0, 76.0, 79.0, -1
1.0, 49.0, 48.0, 5.0, 41.0, 67.0, 21.0, -1
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, -1
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, -1
65.0, 57.0, 48.0, 5.0, 47.0, 47.0, 51.0, -1
72.0, 86.0, 48.0, 5.0, 17.0, 55.0, 21.0, -1
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, -1
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, -1
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, -1
56.0, 54.0, 48.0, 5.0, 43.0, 37.0, 3.0, -1
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, -1
61.0, 6.0, 48.0, 5.0, 44.0, 39.0, 38.0, -1
59.0, 61.0, 48.0, 5.0, 42.0, 42.0, 37.0, -1
77.0, 57.0, 1.0, 5.0, 37.0, 54.0, 1.0, 1
