@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a4 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs Class
@data
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, -1
23.0, 4.0, 48.0, 5.0, 39.0, 28.0, 38.0, -1
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, -1
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, -1
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, -1
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, -1
37.0, 52.0, 48.0, 5.0, 42.0, 42.0, 36.0, -1
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, -1
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, -1
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, -1
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, -1
18.0, 3.0, 48.0, 5.0, 46.0, 24.0, 35.0, -1
47.0, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, -1
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, -1
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, -1
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, -1
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, -1
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, -1
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, -1
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, -1
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, -1
34.0, 42.0, 48.0, 5.0, 41.0, 34.0, 43.0, -1
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, -1
29.0, 28.0, 48.0, 5.0, 5.0, 42.0, 5.0, -1
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, -1
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, -1
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, -1
34.0, 49.0, 48.0, 5.0, 58.0, 85.0, 8.0, -1
48.0, 45.0, 48.0, 5.0, 6.0, 78.0, 8.0, -1
48.0, 41.0, 48.0, 5.0, 51.0, 9.0, 88.0, -1
54.0, 57.0, 48.0, 5.0, 56.0, 81.0, 83.0, -1
47.0, 59.0, 48.0, 5.0, 52.0, 76.0, 79.0, -1
63.0, 5.0, 48.0, 5.0, 59.0, 85.0, 86.0, -1
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, -1
5.0, 37.0, 48.0, 5.0, 66.0, 64.0, 69.0, -1
16.0, 51.0, 48.0, 5.0, 33.0, 39.0, 48.0, -1
7.0, 46.0, 48.0, 5.0, 56.0, 78.0, 73.0, -1
61.0, 52.0, 48.0, 5.0, 54.0, 67.0, 52.0, -1
33.0, 37.0, 48.0, 5.0, 46.0, 65.0, 69.0, -1
61.0, 66.0, 48.0, 5.0, 46.0, 87.0, 88.0, -1
69.0, 39.0, 48.0, 5.0, 57.0, 76.0, 79.0, -1
3.0, 51.0, 48.0, 5.0, 42.0, 61.0, 34.0, -1
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, -1
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, -1
81.0, 53.0, 48.0, 5.0, 57.0, 87.0, 88.0, -1
49.0, 61.0, 1.0, 5.0, 56.0, 71.0, 74.0, -1
88.0, 42.0, 48.0, 5.0, 52.0, 73.0, 75.0, -1
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, -1
74.0, 49.0, 48.0, 5.0, 42.0, 54.0, 36.0, -1
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, -1
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, -1
71.0, 71.0, 48.0, 5.0, 4.0, 54.0, 39.0, -1
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, -1
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, -1
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, -1
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, -1
63.0, 65.0, 48.0, 5.0, 39.0, 44.0, 35.0, -1
68.0, 67.0, 48.0, 5.0, 49.0, 4.0, 34.0, -1
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, -1
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, -1
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, -1
59.0, 61.0, 48.0, 5.0, 42.0, 42.0, 37.0, -1
78.0, 68.0, 48.0, 5.0, 83.0, 4.0, 29.0, 1
75.0, 76.0, 48.0, 5.0, 83.0, 57.0, 3.0, 1
74.0, 78.0, 48.0, 5.0, 75.0, 54.0, 15.0, 1
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, 1
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, 1
