a1, a2, a3, a4, a5, a6, a7 , class
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, -1
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, -1
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, -1
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, -1
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, -1
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, -1
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, -1
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, -1
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, -1
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, -1
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, -1
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, -1
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, -1
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, -1
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, -1
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, -1
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, -1
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, -1
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, -1
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, -1
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, -1
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, -1
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, -1
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, -1
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, -1
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, -1
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, -1
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, -1
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, -1
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, -1
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, -1
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, -1
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, -1
62.0, 42.0, 48.0, 5.0, 58.0, 79.0, 81.0, -1
64.0, 45.0, 48.0, 5.0, 67.0, 61.0, 66.0, -1
81.0, 52.0, 48.0, 5.0, 57.0, 78.0, 8.0, -1
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, 1
61.0, 75.0, 48.0, 5.0, 51.0, 33.0, 33.0, 1
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, 1
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, 1
