@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a4 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs Class
@data
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, -1
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, -1
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, -1
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, -1
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, -1
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, -1
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, -1
36.0, 54.0, 48.0, 5.0, 41.0, 38.0, 46.0, -1
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, -1
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, -1
51.0, 37.0, 48.0, 5.0, 35.0, 36.0, 45.0, -1
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, -1
44.0, 34.0, 48.0, 5.0, 3.0, 33.0, 43.0, -1
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, -1
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, -1
37.0, 5.0, 48.0, 5.0, 42.0, 36.0, 45.0, -1
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, -1
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, -1
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, -1
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, -1
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, -1
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, -1
32.0, 33.0, 48.0, 5.0, 6.0, 6.0, 2.0, -1
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, -1
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, -1
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, -1
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, -1
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, -1
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, -1
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, -1
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, -1
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, -1
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, -1
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, -1
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, -1
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, -1
66.0, 74.0, 48.0, 5.0, 31.0, 38.0, 43.0, -1
7.0, 64.0, 48.0, 5.0, 47.0, 51.0, 47.0, -1
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, -1
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, -1
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, 1
74.0, 78.0, 48.0, 5.0, 75.0, 54.0, 15.0, 1
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, 1
56.0, 68.0, 48.0, 5.0, 77.0, 36.0, 45.0, 1
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, 1
