@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a4 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs Class
@data
49.0, 29.0, 48.0, 5.0, 56.0, 24.0, 35.0, -1
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, -1
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, -1
42.0, 24.0, 48.0, 5.0, 57.0, 27.0, 37.0, -1
34.0, 45.0, 48.0, 5.0, 38.0, 24.0, 35.0, -1
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, -1
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, -1
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, -1
29.0, 37.0, 48.0, 5.0, 48.0, 44.0, 52.0, -1
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, -1
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, -1
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, -1
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, -1
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, -1
47.0, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, -1
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, -1
36.0, 56.0, 48.0, 5.0, 43.0, 45.0, 53.0, -1
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, -1
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, -1
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, -1
24.0, 57.0, 48.0, 5.0, 63.0, 34.0, 43.0, -1
26.0, 5.0, 48.0, 5.0, 44.0, 32.0, 41.0, -1
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, -1
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 27.0, -1
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, -1
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, -1
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, -1
17.0, 52.0, 48.0, 5.0, 49.0, 37.0, 46.0, -1
69.0, 43.0, 48.0, 5.0, 59.0, 74.0, 77.0, -1
77.0, 55.0, 48.0, 5.0, 51.0, 78.0, 74.0, -1
81.0, 44.0, 48.0, 5.0, 42.0, 67.0, 68.0, -1
86.0, 39.0, 48.0, 5.0, 59.0, 89.0, 9.0, -1
81.0, 52.0, 48.0, 5.0, 57.0, 78.0, 8.0, -1
73.0, 26.0, 48.0, 5.0, 57.0, 75.0, 78.0, -1
49.0, 61.0, 1.0, 5.0, 56.0, 71.0, 74.0, -1
88.0, 42.0, 48.0, 5.0, 52.0, 73.0, 75.0, -1
77.0, 57.0, 1.0, 5.0, 37.0, 54.0, 1.0, -1
61.0, 75.0, 48.0, 5.0, 51.0, 33.0, 33.0, 1
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, 1
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, 1
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, 1
