@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a4 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs Class
@data
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, -1
59.0, 49.0, 48.0, 5.0, 52.0, 45.0, 36.0, -1
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, -1
22.0, 43.0, 48.0, 5.0, 48.0, 16.0, 28.0, -1
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, -1
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, -1
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, -1
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, -1
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, -1
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, -1
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, -1
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, -1
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, -1
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, -1
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, -1
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, -1
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, -1
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, -1
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, -1
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, -1
41.0, 51.0, 48.0, 5.0, 58.0, 2.0, 31.0, -1
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, -1
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, -1
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, -1
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, -1
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, -1
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, -1
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, -1
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, -1
16.0, 43.0, 48.0, 5.0, 54.0, 27.0, 37.0, -1
72.0, 42.0, 48.0, 5.0, 65.0, 77.0, 79.0, -1
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, -1
75.0, 37.0, 48.0, 5.0, 64.0, 7.0, 74.0, -1
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, -1
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, -1
79.0, 54.0, 48.0, 5.0, 5.0, 66.0, 68.0, -1
67.0, 88.0, 48.0, 5.0, 73.0, 5.0, 25.0, 1
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, 1
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, 1
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, 1
