a1, a2, a3, a4, a5, a6, a7 , class
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, -1
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, -1
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, -1
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, -1
25.0, 4.0, 48.0, 5.0, 46.0, 44.0, 52.0, -1
53.0, 38.0, 48.0, 5.0, 44.0, 26.0, 36.0, -1
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, -1
24.0, 35.0, 48.0, 5.0, 31.0, 19.0, 31.0, -1
29.0, 52.0, 48.0, 5.0, 42.0, 29.0, 39.0, -1
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, -1
33.0, 45.0, 48.0, 5.0, 52.0, 32.0, 41.0, -1
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, -1
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, -1
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, -1
43.0, 4.0, 48.0, 5.0, 39.0, 28.0, 39.0, -1
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, -1
23.0, 58.0, 48.0, 5.0, 37.0, 53.0, 59.0, -1
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, -1
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, -1
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, -1
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, -1
53.0, 42.0, 48.0, 5.0, 16.0, 29.0, 39.0, -1
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, -1
64.0, 76.0, 48.0, 5.0, 45.0, 35.0, 38.0, -1
51.0, 46.0, 48.0, 5.0, 58.0, 31.0, 41.0, -1
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, -1
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, -1
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, -1
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, -1
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, -1
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, -1
27.0, 3.0, 48.0, 5.0, 71.0, 28.0, 39.0, -1
64.0, 72.0, 48.0, 5.0, 49.0, 42.0, 19.0, -1
32.0, 39.0, 48.0, 5.0, 53.0, 28.0, 38.0, -1
69.0, 67.0, 48.0, 5.0, 3.0, 39.0, 24.0, -1
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, -1
63.0, 8.0, 48.0, 5.0, 46.0, 31.0, 29.0, -1
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, -1
64.0, 81.0, 48.0, 5.0, 37.0, 39.0, 44.0, -1
62.0, 83.0, 48.0, 5.0, 46.0, 36.0, 4.0, -1
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, -1
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, -1
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, -1
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, -1
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, -1
