a1, a2, a3, a5, a6, a7 , class
29.0, 28.0, 48.0, 44.0, 23.0, 34.0, -1
22.0, 43.0, 48.0, 48.0, 16.0, 28.0, -1
44.0, 27.0, 48.0, 55.0, 52.0, 58.0, -1
23.0, 4.0, 48.0, 39.0, 28.0, 38.0, -1
41.0, 57.0, 48.0, 39.0, 21.0, 32.0, -1
4.0, 45.0, 48.0, 38.0, 22.0, 0.0, -1
51.0, 54.0, 48.0, 41.0, 34.0, 43.0, -1
29.0, 37.0, 48.0, 48.0, 44.0, 52.0, -1
43.0, 37.0, 48.0, 53.0, 35.0, 44.0, -1
34.0, 33.0, 48.0, 38.0, 35.0, 44.0, -1
56.0, 51.0, 48.0, 34.0, 37.0, 46.0, -1
65.0, 47.0, 48.0, 59.0, 3.0, 4.0, -1
17.0, 38.0, 48.0, 45.0, 42.0, 5.0, -1
43.0, 4.0, 48.0, 39.0, 28.0, 39.0, -1
22.0, 36.0, 48.0, 35.0, 39.0, 47.0, -1
23.0, 58.0, 48.0, 37.0, 53.0, 59.0, -1
42.0, 38.0, 48.0, 54.0, 34.0, 43.0, -1
44.0, 56.0, 48.0, 5.0, 46.0, 54.0, -1
36.0, 41.0, 48.0, 48.0, 47.0, 54.0, -1
18.0, 3.0, 48.0, 46.0, 24.0, 35.0, -1
44.0, 28.0, 48.0, 43.0, 27.0, 37.0, -1
41.0, 43.0, 48.0, 5.0, 24.0, 25.0, -1
31.0, 47.0, 48.0, 29.0, 28.0, 39.0, -1
64.0, 76.0, 48.0, 45.0, 35.0, 38.0, -1
38.0, 4.0, 48.0, 63.0, 25.0, 35.0, -1
32.0, 33.0, 48.0, 6.0, 6.0, 2.0, -1
51.0, 49.0, 48.0, 53.0, 14.0, 26.0, -1
25.0, 51.0, 48.0, 37.0, 42.0, 5.0, -1
4.0, 46.0, 48.0, 42.0, 35.0, 44.0, -1
23.0, 34.0, 48.0, 43.0, 26.0, 37.0, -1
27.0, 42.0, 48.0, 37.0, 38.0, 43.0, -1
71.0, 46.0, 1.0, 52.0, 59.0, 3.0, -1
74.0, 49.0, 48.0, 42.0, 54.0, 36.0, -1
67.0, 81.0, 48.0, 25.0, 42.0, 25.0, -1
68.0, 82.0, 48.0, 38.0, 65.0, 56.0, -1
68.0, 78.0, 48.0, 43.0, 44.0, 42.0, -1
7.0, 71.0, 48.0, 42.0, 84.0, 85.0, -1
68.0, 67.0, 48.0, 49.0, 4.0, 34.0, -1
74.0, 56.0, 48.0, 47.0, 68.0, 3.0, -1
71.0, 57.0, 48.0, 48.0, 35.0, 32.0, -1
67.0, 88.0, 48.0, 73.0, 5.0, 25.0, 1
75.0, 76.0, 48.0, 83.0, 57.0, 3.0, 1
52.0, 81.0, 48.0, 72.0, 38.0, 38.0, 1
6.0, 76.0, 1.0, 77.0, 59.0, 52.0, 1
