@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.59, 0.49, 0.48, 0.5, 0.52, 0.45, 0.36, 1
0.42, 0.4, 0.48, 0.5, 0.56, 0.18, 0.3, 1
0.39, 0.32, 0.48, 0.5, 0.46, 0.24, 0.35, 1
0.23, 0.4, 0.48, 0.5, 0.39, 0.28, 0.38, 1
0.29, 0.37, 0.48, 0.5, 0.48, 0.44, 0.52, 1
0.29, 0.52, 0.48, 0.5, 0.42, 0.29, 0.39, 1
0.33, 0.45, 0.48, 0.5, 0.52, 0.32, 0.41, 1
0.17, 0.38, 0.48, 0.5, 0.45, 0.42, 0.5, 1
0.4, 0.35, 0.48, 0.5, 0.45, 0.33, 0.42, 1
0.47, 0.29, 0.48, 0.5, 0.51, 0.33, 0.43, 1
0.35, 0.48, 0.48, 0.5, 0.56, 0.4, 0.48, 1
0.26, 0.26, 0.48, 0.5, 0.34, 0.25, 0.35, 1
0.37, 0.5, 0.48, 0.5, 0.42, 0.36, 0.45, 1
0.42, 0.3, 0.48, 0.5, 0.48, 0.26, 0.36, 1
0.29, 0.47, 0.48, 0.5, 0.41, 0.23, 0.34, 1
0.4, 0.46, 0.48, 0.5, 0.52, 0.49, 0.56, 1
0.4, 0.42, 0.48, 0.5, 0.37, 0.27, 0.27, 1
0.65, 0.55, 0.48, 0.5, 0.34, 0.37, 0.28, 1
0.24, 0.57, 0.48, 0.5, 0.63, 0.34, 0.43, 1
0.26, 0.5, 0.48, 0.5, 0.44, 0.32, 0.41, 1
0.34, 0.35, 0.48, 0.5, 0.51, 0.49, 0.56, 1
0.38, 0.3, 0.48, 0.5, 0.43, 0.29, 0.39, 1
0.29, 0.28, 0.48, 0.5, 0.5, 0.42, 0.5, 1
0.24, 0.41, 0.48, 0.5, 0.49, 0.23, 0.34, 1
0.04, 0.31, 0.48, 0.5, 0.41, 0.29, 0.39, 1
0.34, 0.51, 0.48, 0.5, 0.44, 0.37, 0.46, 1
0.0, 0.38, 0.48, 0.5, 0.42, 0.48, 0.55, 1
0.26, 0.4, 0.48, 0.5, 0.36, 0.26, 0.37, 1
0.44, 0.35, 0.48, 0.5, 0.44, 0.52, 0.59, 1
0.46, 0.61, 0.48, 0.5, 0.48, 0.86, 0.87, -1
0.48, 0.45, 0.48, 0.5, 0.6, 0.78, 0.8, -1
0.5, 0.66, 0.48, 0.5, 0.31, 0.92, 0.92, -1
0.45, 0.4, 0.48, 0.5, 0.61, 0.74, 0.77, -1
0.5, 0.37, 0.48, 0.5, 0.66, 0.64, 0.69, -1
0.83, 0.37, 0.48, 0.5, 0.61, 0.71, 0.74, -1
0.16, 0.51, 0.48, 0.5, 0.33, 0.39, 0.48, -1
0.7, 0.46, 0.48, 0.5, 0.56, 0.78, 0.73, -1
0.63, 0.65, 0.48, 0.5, 0.66, 0.67, 0.71, -1
0.34, 0.67, 0.48, 0.5, 0.52, 0.76, 0.79, -1
0.5, 0.57, 0.48, 0.5, 0.71, 0.61, 0.66, -1
0.35, 0.51, 0.48, 0.5, 0.61, 0.71, 0.74, -1
0.68, 0.51, 0.48, 0.5, 0.71, 0.75, 0.78, -1
0.0, 0.51, 0.48, 0.5, 0.35, 0.67, 0.44, -1
0.3, 0.51, 0.48, 0.5, 0.42, 0.61, 0.34, -1
