A1, A2, A3, A4, A5, A6, A7, A8, A9, class
37, -85, 77, 0, 20, 0, 40, 57, 16, 1
103, -1, 104, -4, 72, 10, 1, 31, 30, -1
79, 0, 83, 0, -46, -29, 4, 130, 126, -1
80, 1, 84, 0, -36, 0, 4, 121, 116, -1
82, 0, 86, 0, -12, -9, 3, 99, 96, -1
85, 1, 88, 0, 0, -1, 3, 88, 86, -1
76, -5, 80, 0, -40, 0, 4, 121, 116, -1
76, 3, 80, 0, -40, 0, 4, 121, 118, -1
84, 0, 88, 0, -2, -19, 3, 90, 88, -1
83, 0, 86, 0, -4, 19, 3, 92, 88, -1
102, 0, 103, 3, 72, 25, 1, 31, 30, -1
102, 5, 104, 4, 70, -2, 1, 34, 32, -1
102, 0, 103, 0, 72, 13, 1, 31, 30, -1
79, 0, 83, 0, -40, 0, 4, 124, 120, -1
102, 0, 103, 3, 70, -1, 1, 33, 32, -1
102, 0, 103, 0, 70, -10, 1, 33, 32, -1
106, 0, 107, -1, 72, 3, 1, 35, 34, -1
82, 0, 85, 0, -6, 17, 3, 93, 90, -1
80, 4, 84, 0, -28, 0, 4, 112, 108, -1
85, 0, 88, 0, 2, -26, 3, 86, 82, -1
80, 0, 85, 5, -40, 8, 5, 126, 122, -1
80, 0, 84, 1, -28, 0, 4, 112, 108, -1
81, 1, 86, 0, -40, 5, 4, 127, 122, -1
79, 0, 83, 0, -30, -8, 4, 114, 110, -1
103, 4, 104, 8, 70, 0, 1, 35, 34, -1
82, -5, 87, 0, -40, 0, 5, 128, 124, -1
