@relation shuttle
@attribute A1 integer [65, 144]
@attribute A2 integer [65, 144]
@attribute A3 integer [65, 144]
@attribute A4 integer [65, 144]
@attribute A5 integer [65, 144]
@attribute A6 integer [65, 144]
@attribute A7 integer [65, 144]
@attribute A8 integer [65, 144]
@attribute A9 integer [65, 144]
@attribute Class {1, -1}
@inputs A1, A2, A3, A4, A5, A6, A7, A8, A9
@outputs Class
@data
52, -30, 79, 0, 0, 0, 27, 79, 52, 1
103, 2, 105, 9, 70, 0, 2, 35, 34, -1
105, -5, 106, -7, 70, 0, 1, 36, 34, -1
80, 1, 84, 3, -42, -26, 5, 128, 124, -1
85, 0, 88, 0, 0, -9, 3, 88, 86, -1
81, 0, 86, 6, -40, 6, 5, 127, 122, -1
84, 0, 88, 1, 0, 0, 3, 88, 84, -1
80, -5, 84, -6, -40, 1, 4, 126, 122, -1
105, 0, 106, 8, 70, 0, 2, 36, 34, -1
85, -4, 88, 0, 2, 2, 3, 86, 82, -1
76, 2, 81, 0, -40, 0, 4, 122, 118, -1
76, 0, 80, -5, -40, 0, 4, 121, 118, -1
85, 0, 88, 0, 0, -17, 3, 88, 86, -1
76, 2, 81, -4, -42, -1, 5, 125, 120, -1
107, -1, 108, -1, 72, 16, 1, 36, 34, -1
81, 5, 84, 0, -20, 0, 4, 105, 102, -1
107, 0, 108, 7, 70, 0, 1, 38, 36, -1
85, 0, 88, -7, 0, 0, 3, 88, 84, -1
102, -1, 104, 0, 72, 12, 1, 31, 30, -1
101, 0, 102, 0, 72, 4, 1, 29, 28, -1
82, -2, 86, 0, -10, 1, 4, 96, 92, -1
104, 5, 105, 5, 70, 0, 1, 35, 34, -1
75, 0, 80, 4, -42, 0, 5, 124, 120, -1
85, 0, 88, 0, 2, -17, 3, 86, 82, -1
84, 0, 88, 0, -2, -12, 3, 90, 88, -1
104, 0, 105, 0, 70, 0, 1, 35, 34, -1
