@relation yeast
@attribute mcg real [-5.211, -0.941]
@attribute gvh real [-1.274, 5.074]
@attribute alm real [-2.487, 1.431]
@attribute mit real [-1.409, 2.377]
@attribute erl real [-2.127, 1.831]
@attribute pox real [-0.836, 2.327]
@attribute vac real [-1.537, 1.403]
@attribute nuc real [-1.293, 2.039]
@attribute Class {1, -1}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs Class
@data
0.58, 0.61, 0.47, 0.13, 0.5, 0.0, 0.48, 0.22, -1
0.43, 0.67, 0.48, 0.27, 0.5, 0.0, 0.53, 0.22, -1
0.43, 0.35, 0.52, 0.52, 0.5, 0.0, 0.54, 0.22, -1
0.51, 0.54, 0.6, 0.57, 0.5, 0.0, 0.58, 0.22, -1
0.54, 0.52, 0.63, 0.37, 0.5, 0.0, 0.46, 0.22, -1
0.61, 0.72, 0.39, 0.33, 0.5, 0.0, 0.58, 0.22, -1
0.59, 0.67, 0.56, 0.41, 0.5, 0.0, 0.47, 0.22, -1
0.46, 0.71, 0.48, 0.53, 0.5, 0.0, 0.53, 0.22, -1
0.38, 0.68, 0.44, 0.45, 0.5, 0.0, 0.53, 0.22, -1
0.63, 0.56, 0.45, 0.58, 0.5, 0.0, 0.51, 0.22, -1
0.72, 0.62, 0.34, 0.29, 0.5, 0.0, 0.56, 0.28, -1
0.52, 0.77, 0.38, 0.34, 0.5, 0.0, 0.51, 0.22, -1
0.5, 0.52, 0.6, 0.51, 0.5, 0.0, 0.48, 0.22, -1
0.49, 0.6, 0.43, 0.56, 0.5, 0.0, 0.36, 0.22, -1
0.67, 0.68, 0.46, 0.29, 0.5, 0.0, 0.46, 0.22, -1
0.46, 0.54, 0.71, 0.15, 0.5, 0.0, 0.59, 0.22, -1
0.4, 0.56, 0.48, 0.14, 0.5, 0.0, 0.47, 0.22, -1
0.67, 0.51, 0.53, 0.28, 0.5, 0.0, 0.51, 0.22, -1
0.47, 0.63, 0.66, 0.45, 0.5, 0.0, 0.37, 0.11, -1
0.59, 0.57, 0.46, 0.14, 0.5, 0.0, 0.52, 0.22, -1
0.53, 0.5, 0.54, 0.56, 0.5, 0.0, 0.49, 0.41, -1
0.52, 0.62, 0.54, 0.19, 0.5, 0.0, 0.5, 0.22, -1
0.41, 0.41, 0.51, 0.19, 0.5, 0.0, 0.57, 0.22, -1
0.45, 0.73, 0.47, 0.65, 0.5, 0.0, 0.54, 0.43, -1
0.67, 0.51, 0.54, 0.21, 0.5, 0.0, 0.43, 0.3, -1
0.57, 0.4, 0.62, 0.3, 0.5, 0.0, 0.48, 0.11, -1
0.52, 0.5, 0.59, 0.31, 0.5, 0.0, 0.5, 0.22, -1
0.6, 0.51, 0.6, 0.38, 0.5, 0.83, 0.52, 0.24, -1
0.41, 0.52, 0.53, 0.41, 0.5, 0.0, 0.39, 0.33, -1
