@relation yeast
@attribute mcg real [-5.211, -0.941]
@attribute gvh real [-1.274, 5.074]
@attribute alm real [-2.487, 1.431]
@attribute mit real [-1.409, 2.377]
@attribute erl real [-2.127, 1.831]
@attribute pox real [-0.836, 2.327]
@attribute vac real [-1.537, 1.403]
@attribute nuc real [-1.293, 2.039]
@attribute Class {1, -1}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs Class
@data
0.43, 0.39, 0.54, 0.21, 0.5, 0.0, 0.53, 0.27, -1
0.33, 0.43, 0.64, 0.16, 0.5, 0.0, 0.52, 0.52, -1
0.3, 0.32, 0.57, 0.19, 0.5, 0.0, 0.48, 0.55, -1
0.45, 0.51, 0.5, 0.16, 0.5, 0.0, 0.52, 1.0, -1
0.4, 0.38, 0.53, 0.16, 0.5, 0.0, 0.52, 0.27, -1
0.35, 0.58, 0.54, 0.16, 0.5, 0.0, 0.51, 0.22, -1
0.58, 0.48, 0.51, 0.47, 0.5, 0.0, 0.55, 0.22, -1
0.28, 0.37, 0.61, 0.09, 0.5, 0.0, 0.52, 0.55, -1
0.36, 0.68, 0.46, 0.16, 0.5, 0.0, 0.53, 0.28, -1
0.67, 0.71, 0.52, 0.65, 0.5, 0.0, 0.53, 0.36, -1
0.49, 0.47, 0.53, 0.16, 0.5, 0.0, 0.48, 0.27, -1
0.57, 0.51, 0.53, 0.18, 0.5, 0.0, 0.56, 0.25, -1
0.58, 0.56, 0.45, 0.12, 0.5, 0.0, 0.51, 0.22, -1
0.34, 0.36, 0.54, 0.11, 0.5, 0.0, 0.36, 0.21, -1
0.35, 0.4, 0.59, 0.22, 0.5, 0.0, 0.47, 0.37, -1
0.35, 0.6, 0.47, 0.13, 0.5, 0.0, 0.52, 0.43, -1
0.23, 0.3, 0.58, 0.22, 0.5, 0.0, 0.48, 0.27, -1
0.54, 0.56, 0.57, 0.18, 0.5, 0.0, 0.45, 0.25, -1
0.58, 0.48, 0.56, 0.1, 0.5, 0.0, 0.46, 0.25, -1
0.6, 0.48, 0.44, 0.52, 0.5, 0.0, 0.54, 0.63, -1
0.44, 0.42, 0.62, 0.14, 0.5, 0.0, 0.55, 0.37, -1
0.37, 0.34, 0.58, 0.24, 0.5, 0.0, 0.44, 0.18, -1
0.39, 0.39, 0.55, 0.52, 0.5, 0.0, 0.37, 0.16, -1
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, -1
0.52, 0.49, 0.57, 0.57, 0.5, 0.0, 0.51, 0.22, -1
0.7, 0.53, 0.42, 0.22, 0.5, 0.0, 0.51, 0.28, -1
0.55, 0.49, 0.45, 0.18, 0.5, 0.0, 0.49, 0.22, -1
0.39, 0.3, 0.56, 0.12, 0.5, 0.0, 0.53, 0.38, -1
0.52, 0.38, 0.62, 0.12, 0.5, 0.0, 0.41, 0.28, -1
