@relation yeast
@attribute mcg real [-5.211, -0.941]
@attribute gvh real [-1.274, 5.074]
@attribute alm real [-2.487, 1.431]
@attribute mit real [-1.409, 2.377]
@attribute erl real [-2.127, 1.831]
@attribute pox real [-0.836, 2.327]
@attribute vac real [-1.537, 1.403]
@attribute nuc real [-1.293, 2.039]
@attribute Class {1, -1}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs Class
@data
0.57, 0.47, 0.6, 0.18, 0.5, 0.0, 0.51, 0.22, -1
0.38, 0.61, 0.61, 0.12, 0.5, 0.0, 0.53, 0.47, -1
0.64, 0.59, 0.56, 0.23, 0.5, 0.0, 0.46, 0.22, -1
0.66, 0.62, 0.49, 0.1, 0.5, 0.0, 0.49, 0.22, -1
0.48, 0.54, 0.55, 0.12, 0.5, 0.0, 0.51, 0.22, -1
0.64, 0.57, 0.57, 0.27, 0.5, 0.0, 0.37, 0.22, -1
0.4, 0.62, 0.52, 0.31, 0.5, 0.0, 0.49, 0.31, -1
0.39, 0.55, 0.48, 0.31, 0.5, 0.0, 0.54, 0.29, -1
0.32, 0.42, 0.52, 0.24, 0.5, 0.0, 0.6, 0.22, -1
0.37, 0.42, 0.51, 0.11, 0.5, 0.0, 0.57, 0.22, -1
0.41, 0.51, 0.58, 0.15, 0.5, 0.0, 0.45, 0.27, -1
0.38, 0.51, 0.75, 0.17, 0.5, 0.0, 0.55, 0.22, -1
0.45, 0.56, 0.53, 0.32, 0.5, 0.0, 0.57, 0.22, -1
0.54, 0.65, 0.49, 0.34, 0.5, 0.0, 0.52, 0.22, -1
0.35, 0.46, 0.49, 0.15, 1.0, 0.0, 0.55, 0.35, -1
0.41, 0.39, 0.51, 0.52, 0.5, 0.0, 0.49, 0.22, -1
0.49, 0.43, 0.48, 0.15, 0.5, 0.0, 0.55, 0.25, -1
0.49, 0.42, 0.54, 0.17, 0.5, 0.0, 0.5, 0.36, -1
0.5, 0.46, 0.52, 0.16, 0.5, 0.0, 0.52, 0.26, -1
0.42, 0.25, 0.6, 0.14, 0.5, 0.0, 0.45, 0.22, -1
0.49, 0.44, 0.45, 0.22, 0.5, 0.0, 0.51, 0.22, -1
0.46, 0.55, 0.61, 0.13, 0.5, 0.0, 0.47, 0.22, -1
0.29, 0.34, 0.55, 0.24, 0.5, 0.0, 0.51, 0.22, -1
0.39, 0.58, 0.5, 0.1, 0.5, 0.0, 0.51, 0.25, -1
0.57, 0.49, 0.5, 0.2, 0.5, 0.0, 0.51, 0.28, -1
0.45, 0.41, 0.49, 0.14, 1.0, 0.0, 0.53, 0.3, -1
0.46, 0.62, 0.54, 0.25, 0.5, 0.0, 0.46, 0.22, -1
0.53, 0.59, 0.48, 0.14, 0.5, 0.0, 0.51, 0.22, -1
0.45, 0.45, 0.52, 0.17, 0.5, 0.0, 0.54, 0.22, -1
0.46, 0.43, 0.5, 0.24, 0.5, 0.0, 0.48, 0.31, -1
0.59, 0.47, 0.51, 0.53, 0.5, 0.0, 0.53, 0.26, -1
0.45, 0.52, 0.5, 0.12, 0.5, 0.0, 0.6, 0.22, -1
0.61, 0.38, 0.57, 0.36, 0.5, 0.0, 0.44, 0.21, -1
0.46, 0.35, 0.69, 0.18, 0.5, 0.0, 0.3, 0.25, -1
0.46, 0.35, 0.69, 0.18, 0.5, 0.0, 0.3, 0.25, -1
0.44, 0.56, 0.52, 0.18, 0.5, 0.0, 0.5, 0.11, -1
0.37, 0.44, 0.64, 0.48, 0.5, 0.0, 0.36, 0.27, -1
0.58, 0.45, 0.55, 0.27, 0.5, 0.0, 0.48, 0.11, -1
0.4, 0.45, 0.61, 0.29, 0.5, 0.0, 0.44, 0.22, -1
0.34, 0.34, 0.65, 0.4, 0.5, 0.0, 0.32, 0.16, -1
0.35, 0.39, 0.56, 0.2, 0.5, 0.0, 0.49, 0.41, -1
0.48, 0.55, 0.48, 0.1, 0.5, 0.0, 0.55, 0.22, -1
0.73, 0.6, 0.47, 0.2, 0.5, 0.0, 0.72, 0.22, -1
0.32, 0.44, 0.54, 0.21, 0.5, 0.0, 0.4, 0.19, -1
0.51, 0.52, 0.58, 0.17, 0.5, 0.0, 0.47, 0.28, -1
0.53, 0.57, 0.6, 0.36, 0.5, 0.0, 0.5, 0.22, -1
0.37, 0.3, 0.62, 0.43, 0.5, 0.0, 0.44, 0.39, -1
0.37, 0.37, 0.51, 0.38, 0.5, 0.0, 0.44, 0.22, -1
0.34, 0.25, 0.55, 0.28, 0.5, 0.0, 0.51, 0.49, -1
0.56, 0.42, 0.52, 0.14, 0.5, 0.0, 0.51, 0.22, -1
0.41, 0.49, 0.47, 0.09, 0.5, 0.0, 0.49, 0.22, -1
0.46, 0.38, 0.51, 0.2, 0.5, 0.0, 0.51, 0.22, -1
0.41, 0.4, 0.56, 0.17, 0.5, 0.0, 0.56, 0.22, -1
0.48, 0.51, 0.5, 0.24, 0.5, 0.0, 0.54, 0.38, -1
0.43, 0.47, 0.47, 0.18, 0.5, 0.0, 0.47, 0.22, -1
0.52, 0.47, 0.58, 0.18, 0.5, 0.0, 0.34, 0.11, -1
0.5, 0.45, 0.51, 0.19, 0.5, 0.0, 0.53, 0.25, -1
0.56, 0.52, 0.46, 0.17, 0.5, 0.0, 0.49, 0.73, -1
0.39, 0.39, 0.65, 0.16, 0.5, 0.0, 0.45, 0.22, -1
0.38, 0.34, 0.55, 0.44, 0.5, 0.0, 0.48, 0.26, -1
0.62, 0.42, 0.47, 0.16, 0.5, 0.0, 0.52, 0.22, -1
0.59, 0.51, 0.47, 0.21, 0.5, 0.0, 0.47, 0.22, -1
0.57, 0.35, 0.5, 0.43, 0.5, 0.0, 0.53, 0.22, -1
0.63, 0.43, 0.48, 0.11, 0.5, 0.0, 0.51, 0.22, -1
0.54, 0.55, 0.55, 0.4, 0.5, 0.0, 0.53, 0.22, -1
0.31, 0.31, 0.57, 0.15, 0.5, 0.0, 0.5, 0.22, -1
0.38, 0.42, 0.5, 0.19, 0.5, 0.0, 0.44, 0.22, -1
0.33, 0.36, 0.62, 0.26, 0.5, 0.0, 0.55, 0.22, -1
0.44, 0.54, 0.51, 0.16, 0.5, 0.0, 0.58, 0.22, -1
0.4, 0.56, 0.53, 0.15, 0.5, 0.0, 0.49, 0.22, -1
0.42, 0.37, 0.54, 0.17, 0.5, 0.0, 0.51, 0.22, -1
0.42, 0.45, 0.75, 0.21, 0.5, 0.0, 0.48, 0.22, -1
0.4, 0.44, 0.5, 0.13, 0.5, 0.0, 0.52, 0.39, -1
0.57, 0.36, 0.51, 0.25, 0.5, 0.0, 0.54, 0.25, -1
0.59, 0.64, 0.44, 0.26, 0.5, 0.0, 0.5, 0.22, -1
0.5, 0.46, 0.49, 0.27, 0.5, 0.0, 0.6, 0.22, -1
0.27, 0.43, 0.5, 0.13, 0.5, 0.0, 0.54, 0.31, -1
0.47, 0.59, 0.56, 0.09, 0.5, 0.0, 0.5, 0.22, -1
0.4, 0.28, 0.58, 0.44, 0.5, 0.0, 0.41, 0.22, -1
0.64, 0.44, 0.56, 0.15, 0.5, 0.0, 0.56, 0.22, -1
0.41, 0.45, 0.46, 0.23, 0.5, 0.0, 0.5, 0.7, -1
0.6, 0.61, 0.54, 0.11, 0.5, 0.0, 0.46, 0.22, -1
0.48, 0.61, 0.57, 0.17, 0.5, 0.0, 0.45, 0.22, -1
0.71, 0.5, 0.5, 0.18, 0.5, 0.0, 0.46, 0.22, -1
0.65, 0.54, 0.54, 0.13, 0.5, 0.0, 0.53, 0.22, -1
0.36, 0.46, 0.62, 0.46, 0.5, 0.0, 0.51, 0.33, -1
0.48, 0.35, 0.42, 0.21, 0.5, 0.0, 0.57, 0.22, -1
0.41, 0.52, 0.41, 0.11, 0.5, 0.0, 0.54, 0.35, -1
0.53, 0.43, 0.57, 0.24, 0.5, 0.0, 0.39, 0.28, -1
0.61, 0.53, 0.59, 0.17, 0.5, 0.0, 0.44, 0.28, -1
0.64, 0.31, 0.53, 0.15, 0.5, 0.0, 0.53, 0.31, -1
0.25, 0.48, 0.45, 0.32, 0.5, 0.0, 0.4, 0.22, -1
0.54, 0.43, 0.48, 0.27, 0.5, 0.0, 0.44, 0.41, -1
