Mcg, Gvh, Alm, Mit, Erl, Pox, Vac, Nuc, class
0.45, 0.4, 0.5, 0.16, 0.5, 0.0, 0.5, 0.22, -1
0.73, 0.63, 0.42, 0.3, 0.5, 0.0, 0.49, 0.22, -1
0.53, 0.44, 0.51, 0.33, 0.5, 0.0, 0.55, 0.22, -1
0.4, 0.45, 0.56, 0.2, 0.5, 0.0, 0.45, 0.22, -1
0.47, 0.52, 0.5, 0.4, 0.5, 0.0, 0.41, 0.22, -1
0.5, 0.64, 0.57, 0.15, 0.5, 0.0, 0.47, 0.22, -1
0.39, 0.47, 0.56, 0.16, 0.5, 0.0, 0.47, 0.22, -1
0.59, 0.48, 0.5, 0.14, 0.5, 0.0, 0.45, 0.25, -1
0.4, 0.42, 0.71, 0.21, 0.5, 0.0, 0.54, 0.32, -1
0.66, 0.45, 0.5, 0.23, 0.5, 0.0, 0.49, 0.22, -1
0.39, 0.4, 0.53, 0.67, 0.5, 0.0, 0.47, 0.22, -1
0.54, 0.38, 0.52, 0.18, 0.5, 0.0, 0.48, 0.22, -1
0.59, 0.5, 0.52, 0.28, 0.5, 0.0, 0.55, 0.25, -1
0.57, 0.41, 0.59, 0.24, 0.5, 0.0, 0.4, 0.22, -1
0.45, 0.27, 0.57, 0.36, 0.5, 0.0, 0.52, 0.18, -1
0.2, 0.26, 0.52, 0.14, 0.5, 0.0, 0.53, 0.44, -1
0.51, 0.53, 0.55, 0.14, 0.5, 0.0, 0.51, 0.22, -1
0.46, 0.35, 0.53, 0.16, 0.5, 0.0, 0.51, 0.29, -1
0.71, 0.59, 0.53, 0.15, 0.5, 0.0, 0.49, 0.33, -1
0.45, 0.4, 0.56, 0.14, 0.5, 0.0, 0.54, 0.22, -1
0.51, 0.58, 0.54, 0.29, 0.5, 0.0, 0.53, 0.22, -1
0.51, 0.35, 0.46, 0.15, 0.5, 0.0, 0.51, 0.42, -1
0.6, 0.4, 0.59, 0.18, 0.5, 0.0, 0.48, 0.22, -1
0.38, 0.47, 0.53, 0.12, 0.5, 0.0, 0.48, 0.22, -1
0.59, 0.43, 0.52, 0.19, 0.5, 0.0, 0.55, 0.27, -1
0.58, 0.41, 0.51, 0.26, 0.5, 0.0, 0.51, 0.37, -1
0.48, 0.34, 0.47, 0.14, 0.5, 0.0, 0.47, 0.26, -1
0.53, 0.43, 0.47, 0.15, 0.5, 0.0, 0.58, 0.22, -1
0.44, 0.41, 0.58, 0.2, 0.5, 0.0, 0.57, 0.25, -1
0.41, 0.3, 0.49, 0.28, 0.5, 0.0, 0.54, 0.22, -1
0.41, 0.43, 0.5, 0.28, 0.5, 0.0, 0.5, 0.22, -1
0.57, 0.44, 0.42, 0.2, 0.5, 0.0, 0.54, 0.22, -1
0.69, 0.39, 0.52, 0.12, 0.5, 0.0, 0.38, 0.35, -1
0.56, 0.48, 0.5, 0.3, 0.5, 0.0, 0.51, 0.22, -1
0.55, 0.59, 0.52, 0.1, 0.5, 0.0, 0.53, 0.22, -1
0.62, 0.43, 0.49, 0.29, 0.5, 0.0, 0.5, 0.27, -1
0.47, 0.49, 0.6, 0.15, 0.5, 0.0, 0.38, 0.22, -1
0.46, 0.46, 0.53, 0.23, 0.5, 0.0, 0.51, 0.22, -1
0.45, 0.47, 0.53, 0.15, 0.5, 0.0, 0.52, 0.27, -1
0.55, 0.63, 0.54, 0.16, 0.5, 0.0, 0.45, 0.27, -1
0.51, 0.51, 0.56, 0.28, 0.5, 0.0, 0.54, 0.27, -1
0.35, 0.47, 0.53, 0.19, 0.5, 0.0, 0.48, 0.22, -1
0.38, 0.4, 0.59, 0.25, 0.5, 0.0, 0.44, 0.22, -1
0.45, 0.5, 0.57, 0.29, 0.5, 0.0, 0.44, 0.11, -1
0.43, 0.33, 0.54, 0.37, 0.5, 0.0, 0.38, 0.16, -1
0.57, 0.43, 0.52, 0.3, 0.5, 0.0, 0.37, 0.11, -1
0.61, 0.48, 0.56, 0.19, 0.5, 0.0, 0.53, 0.31, -1
0.36, 0.56, 0.52, 0.18, 0.5, 0.0, 0.45, 0.16, -1
0.43, 0.33, 0.67, 0.12, 0.5, 0.0, 0.45, 0.23, -1
0.58, 0.44, 0.5, 0.26, 0.5, 0.0, 0.52, 0.22, -1
0.4, 0.45, 0.61, 0.29, 0.5, 0.0, 0.44, 0.22, -1
0.35, 0.21, 1.0, 0.8, 0.5, 0.0, 0.13, 0.01, -1
0.69, 0.54, 0.55, 0.23, 0.5, 0.0, 0.73, 0.22, -1
0.78, 0.82, 0.56, 0.21, 0.5, 0.0, 0.69, 0.22, -1
0.52, 0.43, 0.61, 0.22, 0.5, 0.0, 0.45, 0.22, -1
0.59, 0.54, 0.53, 0.14, 0.5, 0.0, 0.48, 0.22, -1
0.38, 0.4, 0.53, 0.12, 0.5, 0.0, 0.55, 0.22, -1
0.46, 0.44, 0.58, 0.17, 0.5, 0.0, 0.55, 0.22, -1
0.34, 0.46, 0.52, 0.19, 0.5, 0.0, 0.53, 0.26, -1
0.54, 0.5, 0.51, 0.26, 0.5, 0.0, 0.52, 0.22, -1
0.6, 0.64, 0.56, 0.36, 0.5, 0.0, 0.46, 0.27, -1
0.39, 0.45, 0.51, 0.29, 0.5, 0.0, 0.54, 0.22, -1
0.52, 0.47, 0.58, 0.18, 0.5, 0.0, 0.34, 0.11, -1
0.62, 0.33, 0.49, 0.24, 0.5, 0.0, 0.51, 0.42, -1
0.51, 0.48, 0.51, 0.19, 0.5, 0.0, 0.51, 0.27, -1
0.6, 0.46, 0.51, 0.1, 0.5, 0.0, 0.48, 0.31, -1
0.6, 0.46, 0.51, 0.1, 0.5, 0.0, 0.48, 0.31, -1
0.33, 0.37, 0.49, 0.22, 0.5, 0.0, 0.55, 0.22, -1
0.41, 0.35, 0.6, 0.22, 0.5, 0.0, 0.56, 0.79, -1
0.63, 0.64, 0.49, 0.2, 0.5, 0.0, 0.52, 0.25, -1
0.5, 0.49, 0.46, 0.22, 0.5, 0.0, 0.53, 0.25, -1
0.39, 0.47, 0.49, 0.2, 0.5, 0.0, 0.53, 0.26, -1
0.47, 0.56, 0.58, 0.19, 0.5, 0.0, 0.44, 0.64, -1
0.25, 0.26, 0.53, 0.17, 0.5, 0.0, 0.45, 0.22, -1
0.62, 0.6, 0.54, 0.22, 0.5, 0.0, 0.54, 0.27, -1
0.33, 0.46, 0.53, 0.12, 0.5, 0.0, 0.5, 0.27, -1
0.48, 0.44, 0.51, 0.24, 0.5, 0.0, 0.49, 0.22, -1
0.52, 0.51, 0.48, 0.12, 0.5, 0.0, 0.54, 0.31, -1
0.5, 0.44, 0.57, 0.28, 0.5, 0.0, 0.57, 0.22, -1
0.19, 0.41, 0.55, 0.13, 0.5, 0.0, 0.52, 0.25, -1
0.63, 0.56, 0.52, 0.21, 0.5, 0.0, 0.5, 0.22, -1
0.56, 0.68, 0.42, 0.36, 0.5, 0.0, 0.49, 0.22, -1
0.38, 0.48, 0.57, 0.3, 0.5, 0.0, 0.41, 0.11, -1
0.59, 0.45, 0.53, 0.19, 0.5, 0.0, 0.59, 0.27, -1
0.56, 0.48, 0.58, 0.27, 0.5, 0.0, 0.51, 0.22, -1
