@relation yeast
@attribute mcg real [-5.211, -0.941]
@attribute gvh real [-1.274, 5.074]
@attribute alm real [-2.487, 1.431]
@attribute mit real [-1.409, 2.377]
@attribute erl real [-2.127, 1.831]
@attribute pox real [-0.836, 2.327]
@attribute vac real [-1.537, 1.403]
@attribute nuc real [-1.293, 2.039]
@attribute Class {1, -1}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs Class
@data
0.64, 0.62, 0.49, 0.15, 0.5, 0.0, 0.53, 0.22, -1
0.48, 0.45, 0.59, 0.2, 0.5, 0.0, 0.58, 0.34, -1
0.38, 0.61, 0.61, 0.12, 0.5, 0.0, 0.53, 0.47, -1
0.49, 0.39, 0.52, 0.29, 0.5, 0.0, 0.48, 0.22, 1
0.64, 0.59, 0.56, 0.23, 0.5, 0.0, 0.46, 0.22, -1
0.6, 0.47, 0.45, 0.22, 0.5, 0.0, 0.51, 0.29, -1
0.48, 0.54, 0.55, 0.12, 0.5, 0.0, 0.51, 0.22, -1
0.49, 0.42, 0.56, 0.55, 0.5, 0.0, 0.42, 0.25, -1
0.28, 0.58, 0.21, 0.13, 0.5, 0.0, 0.51, 0.22, -1
0.8, 0.63, 0.45, 0.29, 0.5, 0.0, 0.51, 0.22, 1
0.5, 0.52, 0.59, 0.3, 0.5, 0.0, 0.51, 0.35, -1
0.42, 0.47, 0.52, 0.41, 0.5, 0.0, 0.53, 0.32, -1
0.33, 0.43, 0.64, 0.16, 0.5, 0.0, 0.52, 0.52, -1
0.49, 0.61, 0.49, 0.25, 0.5, 0.0, 0.5, 0.28, -1
0.4, 0.44, 0.49, 0.47, 0.5, 0.0, 0.49, 0.27, -1
0.59, 0.67, 0.56, 0.41, 0.5, 0.0, 0.47, 0.22, -1
0.55, 0.53, 0.55, 0.46, 0.5, 0.0, 0.52, 0.22, -1
0.67, 0.62, 0.54, 0.43, 0.5, 0.0, 0.53, 0.22, -1
0.6, 0.5, 0.57, 0.25, 0.5, 0.0, 0.41, 0.26, -1
0.34, 0.54, 0.5, 0.21, 0.5, 0.0, 0.54, 0.31, -1
0.42, 0.31, 0.5, 0.15, 0.5, 0.0, 0.53, 0.22, -1
0.42, 0.51, 0.5, 0.12, 0.5, 0.0, 0.52, 0.46, -1
0.49, 0.31, 0.49, 0.35, 0.5, 0.0, 0.51, 0.29, -1
0.39, 0.4, 0.53, 0.67, 0.5, 0.0, 0.47, 0.22, -1
0.54, 0.38, 0.52, 0.18, 0.5, 0.0, 0.48, 0.22, -1
0.59, 0.5, 0.52, 0.28, 0.5, 0.0, 0.55, 0.25, -1
0.44, 0.42, 0.6, 0.21, 0.5, 0.0, 0.57, 0.22, -1
0.57, 0.57, 0.44, 0.37, 0.5, 0.0, 0.52, 0.25, -1
0.5, 0.41, 0.44, 0.5, 0.5, 0.0, 0.42, 0.22, -1
0.5, 0.4, 0.56, 0.7, 0.5, 0.0, 0.5, 0.22, -1
0.52, 0.4, 0.6, 0.12, 0.5, 0.0, 0.55, 0.22, -1
0.78, 0.74, 0.58, 0.25, 1.0, 0.0, 0.53, 0.22, -1
0.57, 0.41, 0.59, 0.24, 0.5, 0.0, 0.4, 0.22, -1
0.4, 0.56, 0.48, 0.14, 0.5, 0.0, 0.47, 0.22, -1
0.42, 0.57, 0.72, 0.22, 0.5, 0.0, 0.57, 0.22, -1
0.44, 0.68, 0.45, 0.51, 0.5, 0.0, 0.52, 0.41, -1
0.27, 0.36, 0.6, 0.33, 0.5, 0.0, 0.37, 0.31, -1
0.47, 0.65, 0.54, 0.62, 0.5, 0.0, 0.53, 0.36, -1
0.46, 0.43, 0.49, 0.79, 0.5, 0.0, 0.49, 0.63, -1
0.57, 0.59, 0.44, 0.16, 0.5, 0.0, 0.52, 0.22, -1
0.92, 0.61, 0.4, 0.22, 0.5, 0.0, 0.54, 0.22, -1
0.91, 0.77, 0.34, 0.47, 0.5, 0.0, 0.52, 0.31, -1
0.81, 0.9, 0.39, 0.41, 0.5, 0.0, 0.53, 0.22, -1
0.69, 0.6, 0.5, 0.31, 0.5, 0.0, 0.55, 0.22, -1
0.35, 0.68, 0.57, 0.4, 0.5, 0.0, 0.53, 0.36, -1
0.45, 0.56, 0.49, 0.17, 0.5, 0.0, 0.52, 0.22, -1
0.31, 0.31, 0.54, 0.18, 0.5, 0.0, 0.52, 0.29, -1
0.6, 0.4, 0.59, 0.18, 0.5, 0.0, 0.48, 0.22, -1
0.38, 0.47, 0.53, 0.12, 0.5, 0.0, 0.48, 0.22, -1
0.64, 0.53, 0.45, 0.13, 0.5, 0.0, 0.53, 0.22, -1
0.52, 0.51, 0.51, 0.12, 0.5, 0.0, 0.51, 0.4, -1
0.49, 0.47, 0.52, 0.16, 0.5, 0.0, 0.53, 0.28, -1
0.74, 0.53, 0.5, 0.08, 0.5, 0.0, 0.55, 0.31, -1
0.31, 0.45, 0.5, 0.17, 0.5, 0.0, 0.49, 0.22, -1
0.58, 0.48, 0.56, 0.12, 0.5, 0.0, 0.46, 0.25, -1
0.58, 0.45, 0.48, 0.24, 0.5, 0.0, 0.52, 0.37, -1
0.47, 0.49, 0.63, 0.17, 0.5, 0.0, 0.31, 0.26, -1
0.56, 0.57, 0.63, 0.39, 1.0, 0.0, 0.59, 0.4, -1
0.51, 0.63, 0.3, 0.35, 0.5, 0.0, 0.53, 0.27, -1
0.37, 0.22, 0.64, 0.35, 0.5, 0.0, 0.47, 0.22, -1
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, -1
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, -1
0.29, 0.68, 0.47, 0.26, 0.5, 0.0, 0.47, 0.37, -1
0.44, 0.41, 0.58, 0.2, 0.5, 0.0, 0.57, 0.25, -1
0.37, 0.62, 0.34, 0.25, 0.5, 0.0, 0.51, 0.22, -1
0.38, 0.46, 0.52, 0.75, 0.5, 0.0, 0.5, 0.26, -1
0.61, 0.54, 0.49, 0.19, 0.5, 0.0, 0.54, 0.47, -1
0.44, 0.53, 0.52, 0.37, 0.5, 0.0, 0.5, 0.22, -1
0.45, 0.57, 0.3, 0.17, 0.5, 0.0, 0.51, 0.22, -1
0.55, 0.49, 0.5, 0.46, 0.5, 0.0, 0.52, 0.25, -1
0.54, 0.45, 0.62, 0.13, 0.5, 0.0, 0.52, 0.26, -1
0.67, 0.51, 0.53, 0.28, 0.5, 0.0, 0.51, 0.22, -1
0.35, 0.49, 0.47, 0.22, 0.5, 0.0, 0.5, 0.28, -1
0.89, 0.81, 0.36, 0.71, 0.5, 0.0, 0.55, 0.63, -1
0.5, 0.45, 0.49, 0.3, 0.5, 0.0, 0.47, 0.4, -1
0.34, 0.31, 0.6, 0.37, 0.5, 0.0, 0.5, 0.3, -1
0.36, 0.35, 0.47, 0.22, 0.5, 0.0, 0.44, 0.31, -1
0.38, 0.49, 0.54, 1.0, 0.5, 0.0, 0.5, 0.27, -1
0.43, 0.32, 0.56, 0.27, 0.5, 0.0, 0.47, 0.27, -1
0.27, 0.56, 0.56, 0.18, 0.5, 0.0, 0.52, 0.22, -1
0.86, 0.92, 0.5, 0.37, 1.0, 0.0, 0.53, 0.32, -1
0.77, 0.6, 0.42, 0.33, 0.5, 0.0, 0.57, 0.22, -1
0.76, 0.74, 0.56, 0.34, 0.5, 0.0, 0.51, 0.3, -1
0.36, 0.44, 0.57, 0.18, 0.5, 0.0, 0.42, 0.22, -1
0.52, 0.48, 0.58, 0.55, 0.5, 0.0, 0.48, 0.22, -1
0.43, 0.38, 0.51, 0.24, 0.5, 0.0, 0.46, 0.33, -1
0.36, 0.34, 0.46, 0.19, 0.5, 0.0, 0.52, 0.22, -1
0.53, 0.44, 0.47, 0.22, 0.5, 0.0, 0.53, 0.22, -1
0.46, 0.14, 0.36, 0.21, 0.5, 0.0, 0.5, 0.25, -1
0.5, 0.45, 0.48, 0.17, 0.5, 0.0, 0.5, 0.26, -1
0.52, 0.49, 0.57, 0.57, 0.5, 0.0, 0.51, 0.22, -1
0.39, 0.37, 0.56, 0.15, 0.5, 0.0, 0.5, 0.27, -1
0.81, 0.65, 0.52, 0.41, 0.5, 0.0, 0.57, 0.26, -1
0.5, 0.49, 0.52, 0.2, 0.5, 0.0, 0.43, 0.52, -1
0.62, 0.6, 0.47, 0.16, 0.5, 0.0, 0.53, 0.22, -1
0.68, 0.58, 0.51, 0.19, 0.5, 0.83, 0.54, 0.22, -1
0.49, 0.48, 0.46, 0.63, 0.5, 0.0, 0.52, 0.22, -1
0.7, 0.53, 0.42, 0.22, 0.5, 0.0, 0.51, 0.28, -1
0.68, 0.68, 0.49, 0.15, 0.5, 0.0, 0.53, 0.22, 1
0.57, 0.44, 0.42, 0.2, 0.5, 0.0, 0.54, 0.22, -1
0.43, 0.83, 0.55, 0.2, 0.5, 0.0, 0.47, 0.4, -1
0.46, 0.42, 0.6, 0.21, 0.5, 0.0, 0.4, 0.22, 1
0.8, 0.81, 0.55, 0.35, 0.5, 0.0, 0.42, 0.22, 1
0.54, 0.52, 0.54, 0.2, 0.5, 0.0, 0.55, 0.25, -1
0.43, 0.39, 0.59, 0.13, 0.5, 0.0, 0.41, 0.43, -1
0.45, 0.73, 0.47, 0.65, 0.5, 0.0, 0.54, 0.43, -1
0.58, 0.46, 0.46, 0.34, 0.5, 0.0, 0.5, 0.43, -1
0.4, 0.68, 0.5, 0.82, 0.5, 0.0, 0.44, 0.36, -1
0.6, 0.62, 0.54, 0.4, 0.5, 0.0, 0.5, 0.22, -1
0.36, 0.4, 0.53, 0.48, 0.5, 0.0, 0.48, 0.22, -1
0.5, 0.46, 0.64, 0.36, 0.5, 0.0, 0.49, 0.22, -1
0.6, 0.51, 0.6, 0.38, 0.5, 0.83, 0.52, 0.24, -1
0.64, 0.64, 0.56, 0.21, 0.5, 0.0, 0.5, 0.22, -1
0.56, 0.5, 0.61, 0.49, 0.5, 0.0, 0.46, 0.28, -1
0.6, 0.46, 0.59, 0.16, 0.5, 0.0, 0.49, 0.22, -1
0.65, 0.53, 0.55, 0.52, 0.5, 0.0, 0.47, 0.27, -1
0.61, 0.46, 0.51, 0.37, 0.5, 0.0, 0.51, 0.22, -1
0.55, 0.59, 0.47, 0.64, 0.5, 0.0, 0.54, 0.33, -1
0.54, 0.64, 0.5, 0.13, 0.5, 0.0, 0.49, 0.22, -1
0.5, 0.56, 0.49, 0.61, 0.5, 0.0, 0.5, 0.22, -1
0.46, 0.44, 0.53, 0.31, 0.5, 0.0, 0.48, 0.22, -1
0.44, 0.53, 0.53, 0.37, 0.5, 0.0, 0.51, 0.22, -1
0.46, 0.46, 0.56, 0.12, 0.5, 0.0, 0.55, 0.22, -1
0.58, 0.56, 0.52, 0.25, 0.5, 0.0, 0.57, 0.35, -1
0.81, 0.79, 0.32, 0.37, 0.5, 0.0, 0.41, 0.22, -1
0.42, 0.28, 0.57, 0.18, 0.5, 0.0, 0.42, 0.22, -1
0.51, 0.46, 0.54, 0.41, 0.5, 0.0, 0.53, 0.22, -1
0.37, 0.41, 0.45, 0.14, 0.5, 0.0, 0.47, 0.22, -1
0.5, 0.36, 0.53, 0.41, 0.5, 0.0, 0.55, 0.36, -1
0.48, 0.62, 0.52, 0.3, 0.5, 0.0, 0.51, 0.37, -1
0.49, 0.44, 0.51, 0.18, 0.5, 0.0, 0.52, 0.27, -1
0.45, 0.21, 0.49, 0.24, 0.5, 0.0, 0.46, 0.31, -1
0.75, 0.67, 0.51, 0.29, 0.5, 0.0, 0.52, 0.36, -1
0.47, 0.47, 0.5, 0.15, 0.5, 0.0, 0.5, 0.48, -1
0.7, 0.51, 0.47, 0.24, 0.5, 0.0, 0.53, 0.25, -1
0.69, 0.62, 0.49, 0.0, 1.0, 0.0, 0.47, 0.22, -1
0.41, 0.49, 0.58, 0.22, 0.5, 0.0, 0.52, 0.22, -1
0.48, 0.49, 0.45, 0.23, 0.5, 0.0, 0.51, 0.22, -1
0.39, 0.42, 0.49, 0.1, 0.5, 0.0, 0.49, 0.65, -1
0.68, 0.59, 0.44, 0.49, 0.5, 0.0, 0.4, 0.26, -1
0.53, 0.51, 0.36, 0.13, 0.5, 0.0, 0.52, 0.22, -1
0.6, 0.54, 0.54, 0.53, 0.5, 0.0, 0.52, 0.27, -1
0.49, 0.52, 0.53, 0.7, 0.5, 0.0, 0.51, 0.22, -1
0.33, 0.38, 0.45, 0.19, 0.5, 0.0, 0.54, 0.37, -1
0.45, 0.58, 0.59, 0.44, 0.5, 0.0, 0.56, 0.22, -1
0.28, 0.46, 0.26, 0.18, 0.5, 0.0, 0.39, 0.22, -1
0.67, 0.46, 0.58, 0.3, 0.5, 0.0, 0.57, 0.27, -1
0.45, 0.53, 0.47, 0.43, 0.5, 0.0, 0.5, 0.27, -1
0.56, 0.68, 0.52, 0.39, 0.5, 0.0, 0.36, 0.22, -1
0.45, 0.41, 0.49, 0.14, 1.0, 0.0, 0.53, 0.3, -1
0.43, 0.45, 0.53, 0.19, 0.5, 0.0, 0.56, 0.22, -1
0.44, 0.42, 0.57, 0.22, 0.5, 0.0, 0.5, 0.25, -1
0.31, 0.3, 0.34, 0.19, 0.5, 0.0, 0.55, 0.3, -1
0.5, 0.42, 0.57, 0.49, 0.5, 0.0, 0.48, 0.27, -1
0.49, 0.6, 0.3, 0.34, 0.5, 0.0, 0.5, 0.43, -1
0.27, 0.56, 0.3, 0.14, 0.5, 0.0, 0.52, 0.39, -1
0.55, 0.51, 0.54, 0.2, 0.5, 0.0, 0.56, 0.22, -1
0.95, 0.71, 0.27, 0.39, 0.5, 0.0, 0.31, 0.22, -1
0.38, 0.48, 0.51, 0.13, 0.5, 0.0, 0.5, 0.32, -1
0.27, 0.49, 0.36, 0.26, 0.5, 0.0, 0.49, 0.26, -1
0.41, 0.53, 0.41, 0.15, 0.5, 0.0, 0.54, 0.25, -1
0.42, 0.65, 0.58, 0.34, 0.5, 0.0, 0.5, 0.22, -1
0.45, 0.47, 0.53, 0.15, 0.5, 0.0, 0.52, 0.27, -1
0.42, 0.53, 0.57, 0.17, 0.5, 0.0, 0.49, 0.22, -1
0.45, 0.48, 0.56, 0.56, 0.5, 0.0, 0.47, 0.22, -1
0.62, 0.41, 0.52, 0.17, 0.5, 0.0, 0.48, 0.22, -1
0.4, 0.28, 0.48, 0.06, 0.5, 0.0, 0.49, 0.42, -1
0.51, 0.51, 0.56, 0.28, 0.5, 0.0, 0.54, 0.27, -1
0.45, 0.27, 0.5, 0.33, 0.5, 0.0, 0.53, 0.26, -1
0.36, 0.33, 0.38, 0.15, 0.5, 0.0, 0.55, 0.36, -1
0.29, 0.4, 0.41, 0.48, 0.5, 0.0, 0.53, 0.3, -1
0.46, 0.43, 0.5, 0.24, 0.5, 0.0, 0.48, 0.31, -1
0.38, 0.31, 0.59, 0.19, 0.5, 0.0, 0.46, 0.22, -1
0.61, 0.39, 0.53, 0.14, 0.5, 0.0, 0.43, 0.26, -1
0.43, 0.48, 0.53, 0.18, 0.5, 0.0, 0.46, 0.22, -1
0.31, 0.39, 0.55, 0.28, 0.5, 0.0, 0.46, 0.31, -1
0.41, 0.52, 0.51, 0.22, 0.5, 0.0, 0.52, 0.44, -1
