a1, a2, a3, a5, a6, a7 , class
56.0, 4.0, 48.0, 49.0, 37.0, 46.0, -1
21.0, 34.0, 48.0, 51.0, 28.0, 39.0, -1
42.0, 24.0, 48.0, 57.0, 27.0, 37.0, -1
22.0, 43.0, 48.0, 48.0, 16.0, 28.0, -1
53.0, 38.0, 48.0, 44.0, 26.0, 36.0, -1
56.0, 51.0, 48.0, 34.0, 37.0, 46.0, -1
4.0, 29.0, 48.0, 42.0, 35.0, 44.0, -1
65.0, 47.0, 48.0, 59.0, 3.0, 4.0, -1
33.0, 45.0, 48.0, 52.0, 32.0, 41.0, -1
3.0, 37.0, 48.0, 59.0, 41.0, 49.0, -1
61.0, 45.0, 48.0, 48.0, 35.0, 41.0, -1
44.0, 35.0, 48.0, 55.0, 55.0, 61.0, -1
43.0, 4.0, 48.0, 39.0, 28.0, 39.0, -1
37.0, 52.0, 48.0, 42.0, 42.0, 36.0, -1
54.0, 47.0, 48.0, 28.0, 33.0, 42.0, -1
51.0, 37.0, 48.0, 35.0, 36.0, 45.0, -1
44.0, 34.0, 48.0, 3.0, 33.0, 43.0, -1
52.0, 36.0, 48.0, 41.0, 28.0, 38.0, -1
18.0, 3.0, 48.0, 46.0, 24.0, 35.0, -1
37.0, 5.0, 48.0, 42.0, 36.0, 45.0, -1
42.0, 3.0, 48.0, 48.0, 26.0, 36.0, -1
44.0, 28.0, 48.0, 43.0, 27.0, 37.0, -1
29.0, 41.0, 48.0, 48.0, 38.0, 46.0, -1
36.0, 56.0, 48.0, 43.0, 45.0, 53.0, -1
4.0, 42.0, 48.0, 37.0, 27.0, 27.0, -1
3.0, 45.0, 48.0, 36.0, 21.0, 32.0, -1
31.0, 47.0, 48.0, 29.0, 28.0, 39.0, -1
51.0, 46.0, 48.0, 58.0, 31.0, 41.0, -1
49.0, 43.0, 48.0, 49.0, 3.0, 4.0, -1
32.0, 33.0, 48.0, 6.0, 6.0, 2.0, -1
38.0, 44.0, 48.0, 43.0, 2.0, 31.0, -1
25.0, 26.0, 48.0, 39.0, 32.0, 42.0, -1
24.0, 41.0, 48.0, 49.0, 23.0, 34.0, -1
4.0, 31.0, 48.0, 41.0, 29.0, 39.0, -1
23.0, 34.0, 48.0, 43.0, 26.0, 37.0, -1
17.0, 52.0, 48.0, 49.0, 37.0, 46.0, -1
4.0, 41.0, 48.0, 55.0, 22.0, 33.0, -1
44.0, 52.0, 48.0, 43.0, 47.0, 54.0, -1
27.0, 35.0, 48.0, 51.0, 77.0, 79.0, -1
29.0, 47.0, 48.0, 71.0, 65.0, 69.0, -1
73.0, 36.0, 48.0, 53.0, 91.0, 92.0, -1
63.0, 5.0, 48.0, 59.0, 85.0, 86.0, -1
49.0, 42.0, 48.0, 53.0, 79.0, 81.0, -1
16.0, 51.0, 48.0, 33.0, 39.0, 48.0, -1
74.0, 7.0, 48.0, 66.0, 65.0, 69.0, -1
7.0, 46.0, 48.0, 56.0, 78.0, 73.0, -1
33.0, 37.0, 48.0, 46.0, 65.0, 69.0, -1
41.0, 51.0, 48.0, 53.0, 75.0, 78.0, -1
5.0, 57.0, 48.0, 71.0, 61.0, 66.0, -1
39.0, 41.0, 48.0, 52.0, 72.0, 75.0, -1
75.0, 37.0, 48.0, 64.0, 7.0, 74.0, -1
64.0, 46.0, 48.0, 48.0, 73.0, 76.0, -1
88.0, 42.0, 48.0, 52.0, 73.0, 75.0, -1
65.0, 57.0, 48.0, 47.0, 47.0, 51.0, -1
67.0, 81.0, 48.0, 25.0, 42.0, 25.0, -1
63.0, 86.0, 48.0, 39.0, 47.0, 34.0, -1
69.0, 8.0, 48.0, 46.0, 57.0, 26.0, -1
64.0, 81.0, 48.0, 37.0, 39.0, 44.0, -1
56.0, 54.0, 48.0, 43.0, 37.0, 3.0, -1
69.0, 65.0, 48.0, 63.0, 48.0, 41.0, -1
43.0, 59.0, 48.0, 52.0, 49.0, 56.0, -1
74.0, 74.0, 48.0, 31.0, 53.0, 52.0, -1
73.0, 84.0, 48.0, 86.0, 58.0, 29.0, 1
74.0, 78.0, 48.0, 75.0, 54.0, 15.0, 1
56.0, 68.0, 48.0, 77.0, 36.0, 45.0, 1
64.0, 57.0, 48.0, 7.0, 33.0, 26.0, 1
63.0, 49.0, 48.0, 79.0, 45.0, 28.0, 1
