a1, a2, a3, a5, a6, a7 , class
67.0, 39.0, 48.0, 36.0, 38.0, 46.0, -1
51.0, 5.0, 48.0, 46.0, 32.0, 35.0, -1
23.0, 4.0, 48.0, 39.0, 28.0, 38.0, -1
43.0, 39.0, 48.0, 47.0, 31.0, 41.0, -1
4.0, 29.0, 48.0, 42.0, 35.0, 44.0, -1
33.0, 45.0, 48.0, 52.0, 32.0, 41.0, -1
37.0, 52.0, 48.0, 42.0, 42.0, 36.0, -1
54.0, 47.0, 48.0, 28.0, 33.0, 42.0, -1
18.0, 3.0, 48.0, 46.0, 24.0, 35.0, -1
52.0, 57.0, 48.0, 42.0, 47.0, 54.0, -1
25.0, 37.0, 48.0, 43.0, 26.0, 36.0, -1
35.0, 48.0, 48.0, 56.0, 4.0, 48.0, -1
26.0, 26.0, 48.0, 34.0, 25.0, 35.0, -1
44.0, 42.0, 48.0, 42.0, 25.0, 2.0, -1
24.0, 43.0, 48.0, 37.0, 28.0, 38.0, -1
48.0, 42.0, 48.0, 45.0, 25.0, 35.0, -1
41.0, 48.0, 48.0, 51.0, 44.0, 51.0, -1
41.0, 43.0, 48.0, 45.0, 31.0, 41.0, -1
4.0, 46.0, 48.0, 52.0, 49.0, 56.0, -1
53.0, 42.0, 48.0, 16.0, 29.0, 39.0, -1
3.0, 45.0, 48.0, 36.0, 21.0, 32.0, -1
24.0, 57.0, 48.0, 63.0, 34.0, 43.0, -1
47.0, 28.0, 48.0, 56.0, 2.0, 25.0, -1
41.0, 51.0, 48.0, 58.0, 2.0, 31.0, -1
17.0, 39.0, 48.0, 53.0, 3.0, 39.0, -1
28.0, 33.0, 48.0, 45.0, 22.0, 33.0, -1
0.0, 38.0, 48.0, 42.0, 48.0, 55.0, -1
39.0, 31.0, 48.0, 38.0, 34.0, 43.0, -1
36.0, 42.0, 48.0, 53.0, 32.0, 41.0, -1
4.0, 41.0, 48.0, 55.0, 22.0, 33.0, -1
23.0, 48.0, 48.0, 59.0, 88.0, 89.0, -1
54.0, 57.0, 48.0, 56.0, 81.0, 83.0, -1
49.0, 42.0, 48.0, 53.0, 79.0, 81.0, -1
7.0, 46.0, 48.0, 56.0, 78.0, 73.0, -1
58.0, 34.0, 48.0, 56.0, 87.0, 81.0, -1
59.0, 56.0, 48.0, 55.0, 8.0, 82.0, -1
51.0, 4.0, 48.0, 57.0, 62.0, 67.0, -1
37.0, 47.0, 48.0, 39.0, 76.0, 79.0, -1
58.0, 55.0, 48.0, 57.0, 7.0, 74.0, -1
36.0, 47.0, 48.0, 51.0, 69.0, 72.0, -1
61.0, 66.0, 48.0, 46.0, 87.0, 88.0, -1
68.0, 51.0, 48.0, 71.0, 75.0, 78.0, -1
69.0, 39.0, 48.0, 57.0, 76.0, 79.0, -1
71.0, 52.0, 48.0, 64.0, 1.0, 99.0, -1
61.0, 75.0, 48.0, 51.0, 33.0, 33.0, 1
77.0, 57.0, 48.0, 88.0, 53.0, 2.0, 1
64.0, 57.0, 48.0, 7.0, 33.0, 26.0, 1
68.0, 63.0, 48.0, 73.0, 4.0, 3.0, 1
