a1, a2, a3, a5, a6, a7. ,class
7.0, 4.0, 48.0, 54.0, 35.0, 44.0, -1
67.0, 39.0, 48.0, 36.0, 38.0, 46.0, -1
29.0, 28.0, 48.0, 44.0, 23.0, 34.0, -1
23.0, 4.0, 48.0, 39.0, 28.0, 38.0, -1
43.0, 37.0, 48.0, 53.0, 35.0, 44.0, -1
53.0, 38.0, 48.0, 44.0, 26.0, 36.0, -1
32.0, 42.0, 48.0, 35.0, 28.0, 38.0, -1
61.0, 45.0, 48.0, 48.0, 35.0, 41.0, -1
43.0, 4.0, 48.0, 39.0, 28.0, 39.0, -1
47.0, 47.0, 48.0, 22.0, 16.0, 26.0, -1
54.0, 47.0, 48.0, 28.0, 33.0, 42.0, -1
42.0, 38.0, 48.0, 54.0, 34.0, 43.0, -1
52.0, 36.0, 48.0, 41.0, 28.0, 38.0, -1
47.0, 29.0, 48.0, 51.0, 33.0, 43.0, -1
25.0, 37.0, 48.0, 41.0, 33.0, 42.0, -1
29.0, 41.0, 48.0, 48.0, 38.0, 46.0, -1
52.0, 44.0, 48.0, 37.0, 36.0, 42.0, -1
31.0, 47.0, 48.0, 29.0, 28.0, 39.0, -1
51.0, 46.0, 48.0, 58.0, 31.0, 41.0, -1
24.0, 34.0, 48.0, 38.0, 3.0, 4.0, -1
26.0, 5.0, 48.0, 44.0, 32.0, 41.0, -1
43.0, 32.0, 48.0, 33.0, 45.0, 52.0, -1
34.0, 35.0, 48.0, 51.0, 49.0, 56.0, -1
35.0, 34.0, 48.0, 46.0, 3.0, 27.0, -1
38.0, 44.0, 48.0, 43.0, 2.0, 31.0, -1
34.0, 42.0, 48.0, 41.0, 34.0, 43.0, -1
51.0, 49.0, 48.0, 53.0, 14.0, 26.0, -1
29.0, 28.0, 48.0, 5.0, 42.0, 5.0, -1
27.0, 42.0, 48.0, 37.0, 38.0, 43.0, -1
66.0, 48.0, 48.0, 54.0, 7.0, 74.0, -1
84.0, 49.0, 48.0, 55.0, 78.0, 74.0, -1
81.0, 44.0, 48.0, 42.0, 67.0, 68.0, -1
81.0, 52.0, 48.0, 57.0, 78.0, 8.0, -1
84.0, 54.0, 48.0, 75.0, 92.0, 7.0, -1
78.0, 44.0, 48.0, 45.0, 73.0, 68.0, -1
71.0, 46.0, 1.0, 52.0, 59.0, 3.0, -1
68.0, 49.0, 1.0, 62.0, 55.0, 28.0, -1
78.0, 68.0, 48.0, 83.0, 4.0, 29.0, 1
61.0, 75.0, 48.0, 51.0, 33.0, 33.0, 1
74.0, 9.0, 48.0, 57.0, 53.0, 29.0, 1
6.0, 76.0, 1.0, 77.0, 59.0, 52.0, 1
