a1, a2, a3, a4, a5, a6, a7 , class
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, -1
51.0, 54.0, 48.0, 5.0, 41.0, 34.0, 43.0, -1
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, -1
43.0, 37.0, 48.0, 5.0, 53.0, 35.0, 44.0, -1
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, -1
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, -1
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, -1
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, -1
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, -1
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, -1
48.0, 42.0, 48.0, 5.0, 45.0, 25.0, 35.0, -1
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, -1
29.0, 47.0, 48.0, 5.0, 41.0, 23.0, 34.0, -1
36.0, 56.0, 48.0, 5.0, 43.0, 45.0, 53.0, -1
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, -1
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, -1
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, -1
34.0, 46.0, 48.0, 5.0, 52.0, 35.0, 44.0, -1
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, -1
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, -1
38.0, 4.0, 48.0, 5.0, 63.0, 25.0, 35.0, -1
17.0, 39.0, 48.0, 5.0, 53.0, 3.0, 39.0, -1
4.0, 31.0, 48.0, 5.0, 41.0, 29.0, 39.0, -1
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, -1
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, -1
4.0, 41.0, 48.0, 5.0, 55.0, 22.0, 33.0, -1
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, -1
77.0, 57.0, 1.0, 5.0, 37.0, 54.0, 1.0, -1
68.0, 49.0, 1.0, 5.0, 62.0, 55.0, 28.0, -1
7.0, 61.0, 48.0, 5.0, 56.0, 52.0, 43.0, -1
66.0, 86.0, 48.0, 5.0, 34.0, 41.0, 36.0, -1
65.0, 57.0, 48.0, 5.0, 47.0, 47.0, 51.0, -1
68.0, 82.0, 48.0, 5.0, 38.0, 65.0, 56.0, -1
63.0, 83.0, 48.0, 5.0, 4.0, 39.0, 19.0, -1
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, -1
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, -1
64.0, 84.0, 48.0, 5.0, 37.0, 45.0, 4.0, -1
69.0, 65.0, 48.0, 5.0, 63.0, 48.0, 41.0, -1
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, -1
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, -1
74.0, 78.0, 48.0, 5.0, 75.0, 54.0, 15.0, 1
68.0, 76.0, 48.0, 5.0, 84.0, 45.0, 27.0, 1
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, 1
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, 1
